time,ax,ay,az,atotal
0.007897138595581055,1.44,1.19,1.79,2.58
0.010924100875854492,0.53,1.16,1.47,1.94
0.021329164505004883,0.04,0.69,0.23,0.72
0.03106999397277832,0.18,0.31,-0.46,0.58
0.04165816307067871,0.2,0.74,-1.07,1.31
0.05449414253234863,0.11,1.48,-1.34,1.99
0.06164288520812988,0.49,2.24,-1.11,2.54
0.08309006690979004,1.1,2.95,-0.78,3.24
0.08468890190124512,1.61,3.19,-0.29,3.58
0.0913841724395752,1.8,2.97,0.01,3.47
0.10155892372131348,1.87,2.79,-0.12,3.36
0.11157584190368652,1.87,2.62,-0.72,3.29
0.12204289436340332,1.45,2.55,-1.35,3.22
0.1320810317993164,0.96,2.59,-1.85,3.32
0.14260101318359375,0.9,2.57,-2.06,3.41
0.15683197975158691,1.03,2.73,-1.95,3.5
0.16244816780090332,1.27,3.18,-1.88,3.9
0.18256211280822754,1.8,3.35,-2.01,4.3
0.1846311092376709,2.18,3.36,-2.04,4.49
0.19202303886413574,2.15,3.57,-1.33,4.37
0.2020261287689209,2.31,3.87,-0.14,4.5
0.21215200424194336,2.18,3.86,0.93,4.52
0.22233796119689941,2.16,3.74,1.56,4.59
0.23303914070129395,2.23,2.92,0.84,3.76
0.24302101135253906,1.43,2.37,0.21,2.77
0.255993127822876,0.91,1.37,-1.05,1.95
0.2630140781402588,0.71,-0.03,-2.74,2.83
0.28330492973327637,2.63,-1.65,-4.29,5.29
0.28525805473327637,2.55,-1.43,-4.52,5.38
0.29237818717956543,-0.57,0.98,-3.5,3.67
0.3027188777923584,-1.63,2.55,-3.03,4.28
0.31270289421081543,-2.48,3.15,-2.07,4.51
0.32289814949035645,-1.86,2.84,-0.67,3.46
0.33342504501342773,-0.32,2.0,0.46,2.07
0.34398913383483887,-0.23,1.84,0.43,1.9
0.357806921005249,-0.76,1.73,-0.64,1.99
0.3634641170501709,-0.39,1.58,-1.67,2.33
0.3844869136810303,-0.01,1.74,-1.82,2.51
0.3861980438232422,-0.92,0.74,-1.23,1.7
0.39294886589050293,-1.7,-0.66,-0.55,1.9
0.4041931629180908,-4.01,-0.7,1.69,4.4
0.4130561351776123,-6.38,0.58,4.64,7.91
0.423490047454834,-5.69,2.2,6.55,8.95
0.4338810443878174,-3.43,2.08,6.72,7.82
0.4439098834991455,-1.52,1.46,5.08,5.49
0.45706701278686523,-1.63,1.48,3.54,4.16
0.46390795707702637,-2.17,1.55,1.16,2.9
0.4850728511810303,-2.27,2.46,-0.91,3.46
0.4868490695953369,-2.49,3.58,-2.07,4.82
0.49330997467041016,-3.35,4.16,-1.33,5.5
0.5042769908905029,-4.3,4.12,0.87,6.01
0.5135350227355957,-3.97,3.15,2.98,5.87
0.5238711833953857,-3.21,2.2,5.52,6.75
0.5357029438018799,-1.87,2.88,6.11,7.0
0.5442020893096924,-0.57,5.36,3.86,6.62
0.5574281215667725,-0.55,8.69,1.8,8.89
0.5643861293792725,-0.5,8.31,0.06,8.32
0.5845820903778076,-1.57,5.78,-0.71,6.03
0.58536696434021,-1.72,5.02,-0.77,5.36
0.5935850143432617,-1.42,5.28,-1.74,5.73
0.6039769649505615,-1.87,4.65,-2.46,5.58
0.61415696144104,-1.94,2.94,-1.77,3.94
0.6243879795074463,-2.21,1.57,0.11,2.71
0.6358931064605713,-2.6,1.05,1.79,3.32
0.6447670459747314,-1.83,1.08,2.22,3.07
0.6577560901641846,-0.86,2.07,1.13,2.51
0.6649060249328613,0.19,3.67,-0.59,3.72
0.6859240531921387,0.83,3.84,-1.66,4.26
0.6865370273590088,1.84,3.41,-1.08,4.02
0.6942851543426514,2.85,3.31,0.47,4.39
0.7042691707611084,2.85,2.95,1.94,4.53
0.7143938541412354,2.62,2.54,2.87,4.64
0.7247850894927979,1.74,1.95,3.23,4.15
0.7356841564178467,2.22,2.23,3.2,4.48
0.7451980113983154,2.83,3.19,2.83,5.11
0.7585840225219727,3.56,3.68,2.98,5.92
0.7652719020843506,4.09,3.65,4.41,7.03
0.786142110824585,4.05,2.47,6.15,7.76
0.7867529392242432,3.81,0.32,7.44,8.36
0.7946310043334961,2.5,-1.27,8.12,8.59
0.804797887802124,1.17,-2.01,7.11,7.48
0.8148858547210693,1.23,-0.99,4.65,4.91
0.825206995010376,2.22,1.5,2.05,3.37
0.8362870216369629,2.8,3.07,0.53,4.18
0.8456709384918213,1.9,3.82,-0.32,4.27
0.8593120574951172,-0.25,4.09,-2.18,4.64
0.8657090663909912,-2.41,4.04,-4.74,6.67
0.8863370418548584,-4.11,4.09,-6.28,8.54
0.8869588375091553,-4.94,4.37,-6.83,9.49
0.8952481746673584,-4.95,4.82,-7.2,9.97
0.905289888381958,-5.2,4.93,-7.66,10.48
0.9153101444244385,-4.84,4.85,-7.42,10.09
0.925670862197876,-3.48,5.02,-6.56,8.96
0.9358229637145996,-2.23,5.05,-5.55,7.82
0.946030855178833,-1.44,4.77,-4.22,6.52
0.9593231678009033,-1.8,3.78,-2.52,4.88
0.9660680294036865,-2.79,3.05,0.53,4.16
0.9862968921661377,-3.87,1.46,3.79,5.61
0.9869039058685303,-5.09,-0.09,3.96,6.44
0.995621919631958,-4.81,0.35,1.91,5.18
1.005753993988037,-2.4,1.89,-0.24,3.06
1.0158541202545166,-0.25,4.04,-1.77,4.41
1.0261719226837158,0.79,5.1,-2.98,5.95
1.0359680652618408,0.1,4.71,-3.86,6.09
1.046360969543457,-1.6,3.45,-4.1,5.59
1.0596568584442139,-3.29,2.48,-3.19,5.21
1.0665860176086426,-4.2,1.93,-1.13,4.75
1.0855450630187988,-5.03,1.65,1.21,5.43
1.0861809253692627,-5.56,2.14,4.34,7.37
1.0960638523101807,-5.55,2.69,7.78,9.92
1.1064209938049316,-4.39,3.33,9.77,11.21
1.1162769794464111,-3.2,4.72,9.92,11.44
1.126621961593628,-2.89,5.76,8.28,10.49
1.1365511417388916,-2.79,6.19,6.74,9.56
1.1469900608062744,-3.08,5.8,6.91,9.53
1.1604640483856201,-3.11,4.88,7.45,9.43
1.1670949459075928,-2.94,3.99,8.21,9.58
1.1888978481292725,-2.8,3.24,8.4,9.42
1.1895380020141602,-2.78,1.89,7.14,7.89
1.1964919567108154,-2.9,0.32,4.14,5.06
1.2067830562591553,-2.86,-0.43,0.67,2.96
1.216752052307129,-2.53,-0.82,-2.94,3.96
1.2270050048828125,-1.6,-0.92,-6.35,6.61
1.2369911670684814,-0.12,-0.95,-8.41,8.46
1.2473371028900146,0.88,-1.12,-8.57,8.68
1.2608840465545654,1.09,-1.32,-8.87,9.03
1.2876861095428467,1.9,-1.21,-7.95,8.26
1.2884650230407715,2.09,-0.98,-5.01,5.51
1.2892038822174072,1.48,-1.57,-1.01,2.38
1.2970199584960938,0.78,-2.85,4.53,5.4
1.3071470260620117,1.16,-3.93,8.48,9.41
1.318390130996704,2.63,-3.69,7.95,9.15
1.3273539543151855,4.77,-1.88,2.54,5.72
1.3374898433685303,5.79,0.48,-2.18,6.2
1.3477439880371094,5.08,0.36,-7.61,9.15
1.3612148761749268,4.05,-0.38,-11.45,12.15
1.3867261409759521,4.25,-1.01,-10.04,10.94
1.3873419761657715,5.31,-2.19,-4.02,7.01
1.3879401683807373,6.56,-3.28,3.66,8.19
1.3972949981689453,7.93,-3.27,9.69,12.94
1.4075989723205566,8.95,-2.46,11.14,14.5
1.418370008468628,8.0,-1.95,7.61,11.21
1.4279758930206299,5.37,-1.17,2.73,6.13
1.4379398822784424,2.58,0.55,-0.14,2.64
1.4482438564300537,2.23,1.75,-0.93,2.98
1.461780071258545,3.15,2.01,0.78,3.81
1.485619068145752,3.01,1.55,2.96,4.49
1.4863719940185547,2.21,1.63,3.76,4.65
1.4874951839447021,1.3,2.55,3.18,4.27
1.4977991580963135,0.41,4.3,0.15,4.32
1.5080089569091797,-0.88,5.74,-3.37,6.71
1.5180630683898926,-2.6,6.22,-6.18,9.14
1.5283701419830322,-4.33,5.97,-8.9,11.55
1.5383670330047607,-4.95,5.55,-10.84,13.14
1.5486948490142822,-4.25,4.68,-10.7,12.42
1.562195062637329,-3.34,3.76,-9.27,10.54
1.588181972503662,-2.48,3.12,-7.08,8.12
1.5889520645141602,-1.83,2.18,-4.0,4.9
1.589547872543335,-1.86,1.1,-0.83,2.31
1.5981810092926025,-3.42,0.07,1.79,3.86
1.608530044555664,-5.51,-0.9,3.34,6.5
1.6187870502471924,-6.46,-0.86,2.89,7.12
1.6287009716033936,-6.35,0.47,-0.21,6.37
1.6389081478118896,-6.17,2.17,-5.18,8.34
1.6490859985351562,-6.21,3.45,-10.35,12.55
1.662909984588623,-6.41,4.46,-14.03,16.05
1.688148021697998,-5.7,5.5,-14.06,16.13
1.6887869834899902,-5.26,5.78,-9.03,11.94
1.6894550323486328,-6.13,5.01,-0.84,7.96
1.6985218524932861,-8.42,3.38,8.81,12.64
1.7090380191802979,-9.73,1.1,16.34,19.04
1.7189528942108154,-8.83,0.78,19.22,21.16
1.7290899753570557,-6.75,2.26,15.67,17.21
1.7393338680267334,-5.5,4.72,9.41,11.87
1.7496440410614014,-6.24,6.76,5.82,10.88
1.763118028640747,-7.37,6.85,6.51,11.98
1.7884328365325928,-5.88,5.01,10.71,13.2
1.7899470329284668,-1.86,1.67,14.65,14.86
1.7905991077423096,1.36,-1.65,14.0,14.16
1.7991578578948975,1.21,-3.48,8.09,8.88
1.809401035308838,0.08,-5.26,-1.01,5.35
1.8195111751556396,4.18,-6.76,-12.62,14.91
1.829599142074585,6.99,-3.5,-22.05,23.39
1.8397350311279297,5.61,0.54,-27.16,27.73
1.850221872329712,3.23,-1.26,-24.46,24.7
1.8637430667877197,1.97,-4.42,-13.93,14.74
1.8857309818267822,1.63,-5.82,0.48,6.06
1.8872039318084717,-0.26,-7.32,14.52,16.26
1.889333963394165,-0.52,-7.26,22.73,23.86
1.8995180130004883,0.31,-5.79,21.19,21.96
1.9099009037017822,-0.83,-4.99,12.42,13.41
1.9201381206512451,-2.07,-4.37,2.5,5.44
1.930006980895996,-1.93,-2.62,-6.18,6.98
1.9407198429107666,0.16,-0.61,-13.28,13.29
1.9539220333099365,3.6,-0.58,-17.8,18.16
1.9658100605010986,7.37,-2.94,-16.46,18.27
1.9864270687103271,10.34,-5.88,-8.25,14.47
1.9871129989624023,11.92,-8.3,2.83,14.79
1.9898509979248047,11.92,-8.86,10.17,18.0
2.001033067703247,10.08,-6.92,7.41,14.29
2.010293960571289,7.79,-3.73,-2.13,8.89
2.0205860137939453,7.37,-0.21,-9.62,12.12
2.0304009914398193,8.77,2.94,-9.65,13.36
2.041024923324585,9.53,4.67,-1.99,10.79
2.0530688762664795,9.73,3.85,6.98,12.57
2.064570188522339,8.92,2.47,12.13,15.25
2.0851991176605225,8.74,2.02,12.16,15.11
2.085827112197876,7.63,2.62,8.67,11.84
2.0903608798980713,4.42,3.63,2.54,6.25
2.1009528636932373,0.09,4.14,-3.18,5.22
2.110658884048462,-4.28,3.86,-7.83,9.72
2.1207468509674072,-6.9,3.34,-9.56,12.25
2.130819082260132,-7.18,2.36,-6.51,9.97
2.141160011291504,-7.28,1.31,-1.08,7.47
2.1524770259857178,-8.47,0.78,2.22,8.79
2.1649889945983887,-10.99,0.07,2.39,11.24
2.186954975128174,-11.78,-0.38,1.94,11.94
2.1876330375671387,-10.82,0.0,3.46,11.35
2.1906869411468506,-11.92,0.82,5.38,13.1
2.201068162918091,-13.85,2.5,4.61,14.8
2.211160898208618,-14.31,6.55,0.38,15.74
2.2213289737701416,-13.35,11.88,-7.1,19.22
2.2312891483306885,-11.55,16.06,-12.9,23.61
2.242079019546509,-9.9,16.85,-12.75,23.33
2.2525241374969482,-9.83,14.11,-5.88,18.17
2.2671449184417725,-9.24,10.49,5.53,15.03
2.2900400161743164,-10.29,8.02,14.05,19.17
2.290847063064575,-9.54,6.63,15.59,19.44
2.291635036468506,-4.97,6.52,14.82,16.93
2.301530122756958,0.24,7.59,14.75,16.59
2.311678171157837,3.82,7.99,16.64,18.84
2.3218061923980713,3.09,6.36,19.34,20.59
2.3321239948272705,0.9,3.14,20.13,20.39
2.342180013656616,0.22,-0.57,18.38,18.39
2.3520939350128174,0.37,-4.16,13.67,14.29
2.365772008895874,1.88,-5.14,7.17,9.02
2.386479139328003,3.78,-4.91,-0.26,6.2
2.3870999813079834,3.83,-5.65,-6.5,9.42
2.3918511867523193,1.97,-8.12,-9.45,12.61
2.402045965194702,-1.12,-11.3,-10.1,15.19
2.411836862564087,-5.36,-14.51,-9.76,18.29
2.4225430488586426,-7.39,-17.11,-10.22,21.25
2.4324049949645996,-5.47,-17.98,-11.26,21.9
2.4431068897247314,-2.01,-18.41,-10.34,21.21
2.4531490802764893,2.94,-18.5,-6.61,19.86
2.4899840354919434,6.02,-15.84,-3.91,17.39
2.490609884262085,5.66,-13.18,-9.54,17.22
2.491291046142578,3.31,-10.82,-19.98,22.96
2.491947889328003,2.53,-10.57,-28.02,30.05
2.50235915184021,4.44,-12.54,-23.46,26.96
2.512483835220337,7.53,-14.08,-8.34,18.01
2.522631883621216,13.46,-13.85,10.74,22.09
2.532831907272339,19.02,-12.99,25.39,34.28
2.543045997619629,21.23,-8.94,22.05,31.88
2.5530521869659424,20.08,-3.23,8.64,22.09
2.5668561458587646,17.72,0.48,1.8,17.81
2.5908701419830322,17.7,3.05,5.69,18.84
2.5922000408172607,17.55,5.07,12.61,22.19
2.592806100845337,15.52,4.24,16.54,23.07
2.6036741733551025,13.06,3.1,17.11,21.74
2.6129438877105713,11.7,2.63,13.87,18.33
2.6231229305267334,7.58,4.3,7.68,11.61
2.634753942489624,2.45,8.65,0.47,9.0
2.6431570053100586,-1.06,12.11,-5.47,13.33
2.653402090072632,-4.32,12.9,-10.64,17.27
2.690850019454956,-6.99,10.3,-11.6,17.01
2.6914350986480713,-6.85,8.03,-6.98,12.65
2.6919801235198975,-7.09,5.76,0.73,9.16
2.692950963973999,-11.3,3.83,9.5,15.25
2.7032470703125,-15.16,3.72,15.32,21.87
2.7137081623077393,-19.02,4.36,17.6,26.27
2.723634958267212,-24.64,5.75,16.13,30.0
2.734251022338867,-28.7,9.74,11.75,32.5
2.7439019680023193,-28.54,13.4,6.43,32.17
2.754049062728882,-25.16,16.68,-0.37,30.18
2.7903809547424316,-19.89,18.82,-4.24,27.7
2.791066884994507,-13.2,19.45,-0.64,23.51
2.7924020290374756,-7.31,19.38,9.17,22.65
2.7932610511779785,-4.12,17.76,18.31,25.83
2.803421974182129,-2.91,15.41,25.51,29.94
2.8138091564178467,-2.66,12.96,29.73,32.54
2.8239901065826416,-1.61,9.18,30.28,31.68
2.8343160152435303,2.63,5.11,29.82,30.36
2.8439319133758545,6.99,1.61,29.94,30.78
2.854308843612671,9.25,-3.48,24.78,26.67
2.8893179893493652,10.15,-9.52,13.42,19.33
2.8898799419403076,10.77,-12.38,0.3,16.41
2.89041805267334,9.89,-12.98,-9.18,18.72
2.8936970233917236,4.39,-15.27,-12.14,19.99
2.9037890434265137,-4.35,-22.94,-7.3,24.46
2.914463996887207,-11.23,-31.01,1.63,33.02
2.924705982208252,-12.04,-34.38,5.3,36.81
2.9346139430999756,-7.39,-33.59,0.61,34.39
2.9447500705718994,-1.16,-30.22,-8.9,31.52
2.954798936843872,4.83,-27.1,-16.37,32.02
2.991605043411255,7.41,-23.95,-15.21,29.32
2.9921350479125977,5.05,-21.42,-10.12,24.22
2.9926650524139404,1.61,-17.56,-12.48,21.6
2.9941999912261963,-1.22,-13.91,-19.96,24.35
3.004225015640259,0.43,-12.75,-27.42,30.24
3.014281988143921,7.85,-14.22,-28.37,32.69
3.0249080657958984,18.45,-16.43,-12.36,27.62
3.035027027130127,28.96,-17.54,11.34,35.7
3.0448811054229736,35.17,-14.71,25.93,46.1
3.0554659366607666,32.86,-7.76,23.37,41.06
3.0907881259918213,25.58,-1.59,13.69,29.05
3.091359853744507,20.5,3.59,9.39,22.83
3.0924670696258545,20.2,7.43,11.8,24.54
3.095108985900879,21.97,9.66,17.11,29.47
3.105126142501831,22.21,11.17,15.57,29.33
3.115144968032837,20.96,11.41,9.09,25.53
3.1253769397735596,17.53,10.97,8.36,22.3
3.1352860927581787,11.48,9.73,10.67,18.44
3.14528489112854,3.97,8.51,12.09,15.3
3.1557581424713135,-4.09,7.43,9.69,12.87
3.1909470558166504,-12.52,7.96,2.92,15.12
3.191431999206543,-19.05,9.51,-2.85,21.48
3.1918861865997314,-24.49,9.84,-3.37,26.6
3.1953699588775635,-27.56,9.86,0.58,29.27
3.205479860305786,-25.96,8.13,10.38,29.11
3.215402841567993,-23.11,4.33,23.21,33.03
3.2257399559020996,-21.51,4.06,27.29,34.98
3.2358500957489014,-24.99,6.72,19.32,32.29
3.2457799911499023,-29.32,10.25,2.74,31.18
3.2562010288238525,-28.01,15.23,-14.39,34.97
3.2924020290374756,-21.88,18.08,-19.53,34.45
3.292957067489624,-13.12,17.89,-11.28,24.88
3.2934281826019287,-4.29,17.2,2.84,17.95
3.2956879138946533,1.57,15.14,17.87,23.47
3.305846929550171,3.76,11.31,26.95,29.46
3.31632399559021,4.09,7.3,29.26,30.43
3.326340913772583,2.76,3.01,27.72,28.01
3.3363490104675293,-2.11,-3.33,25.95,26.24
3.3460710048675537,-5.54,-8.3,19.51,21.91
3.3563311100006104,-3.15,-10.0,11.18,15.32
3.3701131343841553,1.67,-10.75,5.75,12.3
3.376633882522583,4.35,-12.83,1.74,13.65
3.4081099033355713,4.96,-15.59,-5.79,17.35
3.408604860305786,5.19,-14.88,-13.23,20.57
3.409069061279297,5.43,-15.13,-16.51,23.04
3.416131019592285,3.03,-17.02,-13.22,21.76
3.4261820316314697,1.8,-18.68,-7.08,20.05
3.4366281032562256,3.68,-20.06,-2.94,20.6
3.4465229511260986,5.2,-21.44,-1.41,22.1
3.4568610191345215,6.24,-22.56,-3.0,23.59
3.4702320098876953,6.61,-24.11,-4.26,25.36
3.4769630432128906,3.11,-20.56,-7.39,22.06
3.509333848953247,0.13,-13.26,-17.61,22.04
3.5098350048065186,0.97,-8.88,-31.53,32.77
3.5103089809417725,4.82,-8.9,-38.53,39.83
3.516432046890259,14.23,-15.02,-28.28,35.04
3.526984930038452,26.69,-19.26,2.07,32.97
3.5370209217071533,30.06,-18.04,30.91,46.73
3.54726505279541,24.05,-15.0,38.19,47.55
3.557391881942749,15.14,-10.93,26.61,32.5
3.5691978931427,9.29,-4.09,10.14,14.34
3.577529191970825,5.99,0.71,2.59,6.56
3.608351945877075,7.31,2.18,2.8,8.12
3.6088321208953857,11.01,3.81,5.96,13.08
3.609297037124634,13.62,4.29,9.77,17.3
3.616995096206665,14.27,4.47,10.33,18.17
3.6270968914031982,11.47,6.2,7.59,15.08
3.637083053588867,7.19,7.89,8.12,13.41
3.647623062133789,6.39,9.44,9.49,14.83
3.657745122909546,5.5,11.6,5.87,14.11
3.6695621013641357,2.35,11.67,-1.25,11.96
3.677698850631714,-0.75,10.69,-5.21,11.91
3.7106010913848877,-3.91,8.82,-2.2,9.89
3.7111780643463135,-8.55,5.94,1.65,10.54
3.7116291522979736,-14.96,4.15,4.36,16.12
3.7174251079559326,-18.5,4.31,8.16,20.67
3.7278568744659424,-19.45,3.0,13.11,23.64
3.7379448413848877,-23.24,4.46,14.35,27.67
3.747917890548706,-31.01,9.35,7.56,33.25
3.758125066757202,-37.68,13.74,-4.53,40.36
3.769813060760498,-38.72,17.86,-14.77,45.12
3.7782280445098877,-34.21,18.06,-11.57,40.37
3.807236909866333,-28.29,14.8,2.96,32.06
3.808263063430786,-23.45,11.55,17.7,31.56
3.8086769580841064,-17.55,8.79,25.72,32.35
3.8192360401153564,-7.14,8.61,24.57,26.99
3.8282220363616943,1.46,9.15,19.89,21.94
3.8385250568389893,6.41,7.89,17.04,19.84
3.8484060764312744,6.66,3.33,17.63,19.13
3.858438014984131,3.5,-2.97,18.32,18.88
3.8699259757995605,0.1,-8.13,15.69,17.67
3.878499984741211,1.16,-11.63,10.42,15.65
3.9082038402557373,6.2,-12.5,3.69,14.43
3.908730983734131,9.15,-13.64,-1.94,16.53
3.9091198444366455,8.93,-17.04,-4.37,19.72
3.9183099269866943,7.43,-20.47,-4.18,22.17
3.9283740520477295,7.18,-22.85,-4.11,24.3
